comarca,cultivo,tipo_riego,year,produccion_tn
Comunidad Foral de Navarra,Cebada,Regadío,2015,61438.208
Comunidad Foral de Navarra,Cebada,Regadío,2017,72644.65
Comunidad Foral de Navarra,Cebada,Regadío,2019,70387.136
Comunidad Foral de Navarra,Cebada,Regadío,2021,50191.371999999996
Comunidad Foral de Navarra,Cebada,Regadío,2023,57993.402
Comunidad Foral de Navarra,Cebada,Regadío,2025,67043.42
Comunidad Foral de Navarra,Cebada,Secano,2015,252682.376
Comunidad Foral de Navarra,Cebada,Secano,2017,287290.163
Comunidad Foral de Navarra,Cebada,Secano,2019,249515.15200000003
Comunidad Foral de Navarra,Cebada,Secano,2021,217913.18099999998
Comunidad Foral de Navarra,Cebada,Secano,2023,181506.424
Comunidad Foral de Navarra,Cebada,Secano,2025,258501.98
Comunidad Foral de Navarra,Cebada,Total,2015,314120.58400000003
Comunidad Foral de Navarra,Cebada,Total,2017,359934.81299999997
Comunidad Foral de Navarra,Cebada,Total,2019,319902.28800000006
Comunidad Foral de Navarra,Cebada,Total,2021,268104.553
Comunidad Foral de Navarra,Cebada,Total,2023,239499.826
Comunidad Foral de Navarra,Cebada,Total,2025,325545.4
Comunidad Foral de Navarra,Trigo blando,Regadío,2015,72522.539
Comunidad Foral de Navarra,Trigo blando,Regadío,2017,85521.025
Comunidad Foral de Navarra,Trigo blando,Regadío,2019,87705.85800000001
Comunidad Foral de Navarra,Trigo blando,Regadío,2021,94381.963
Comunidad Foral de Navarra,Trigo blando,Regadío,2023,87709.76699999999
Comunidad Foral de Navarra,Trigo blando,Regadío,2025,82519.15
Comunidad Foral de Navarra,Trigo blando,Secano,2015,239903.381
Comunidad Foral de Navarra,Trigo blando,Secano,2017,274097.829
Comunidad Foral de Navarra,Trigo blando,Secano,2019,340167.037
Comunidad Foral de Navarra,Trigo blando,Secano,2021,321115.8109999999
Comunidad Foral de Navarra,Trigo blando,Secano,2023,231115.64500000002
Comunidad Foral de Navarra,Trigo blando,Secano,2025,336633.72
Comunidad Foral de Navarra,Trigo blando,Total,2015,312425.92
Comunidad Foral de Navarra,Trigo blando,Total,2017,359618.85400000005
Comunidad Foral de Navarra,Trigo blando,Total,2019,427872.89499999996
Comunidad Foral de Navarra,Trigo blando,Total,2021,415497.7739999999
Comunidad Foral de Navarra,Trigo blando,Total,2023,318825.41199999995
Comunidad Foral de Navarra,Trigo blando,Total,2025,419152.87
Cuenca de Pamplona,Cebada,Regadío,2015,989.33
Cuenca de Pamplona,Cebada,Regadío,2017,1429.956
Cuenca de Pamplona,Cebada,Regadío,2019,1789.008
Cuenca de Pamplona,Cebada,Regadío,2021,947.6999999999999
Cuenca de Pamplona,Cebada,Regadío,2023,1604.94
Cuenca de Pamplona,Cebada,Regadío,2025,1779.75
Cuenca de Pamplona,Cebada,Secano,2015,34541.457
Cuenca de Pamplona,Cebada,Secano,2017,42897.140999999996
Cuenca de Pamplona,Cebada,Secano,2019,51970.826
Cuenca de Pamplona,Cebada,Secano,2021,37791.443999999996
Cuenca de Pamplona,Cebada,Secano,2023,44730.744000000006
Cuenca de Pamplona,Cebada,Secano,2025,36910.0
Cuenca de Pamplona,Cebada,Total,2015,35530.787000000004
