COMARCA,GRUPO,count_start,count_end,change,pct_change
Ribera Baja,Cultivos leñosos secano regadío,1818.0,0.0,-1818.0,-100.0
Ribera Alta-Aragón,Cultivos leñosos secano regadío,1142.0,0.0,-1142.0,-100.0
Ribera Baja,Cultivos herbáceos secano regadío,836.0,0.0,-836.0,-100.0
Ribera Alta-Aragón,Cultivos herbáceos secano regadío,818.0,0.0,-818.0,-100.0
Navarra Media,Cultivos leñosos secano regadío,511.0,0.0,-511.0,-100.0
Navarra Media,Cultivos herbáceos secano regadío,424.0,0.0,-424.0,-100.0
Tierra Estella,Cultivos herbáceos secano regadío,274.0,0.0,-274.0,-100.0
Tierra Estella,Cultivos leñosos secano regadío,201.0,0.0,-201.0,-100.0
Nordoccidental,Coníferas,1925.0,1758.0,-167.0,-8.675324675324674
Cuenca de Pamplona,Cultivos herbáceos secano regadío,136.0,0.0,-136.0,-100.0
Cuenca de Pamplona,Cultivos leñosos secano regadío,71.0,0.0,-71.0,-100.0
Pirineos,Cultivos herbáceos secano regadío,60.0,0.0,-60.0,-100.0
Nordoccidental,Cultivos herbáceos secano regadío,25.0,0.0,-25.0,-100.0
Nordoccidental,Cultivos leñosos secano regadío,13.0,0.0,-13.0,-100.0
Nordoccidental,Cultivos herbáceos secano,1753.0,1740.0,-13.0,-0.7415858528237307
Nordoccidental,Forestal no arbolado,2607.0,2595.0,-12.0,-0.46029919447640966
Tierra Estella,Cultivos herbáceos secano,1159.0,1148.0,-11.0,-0.9490940465918896
Pirineos,Cultivos leñosos secano regadío,11.0,0.0,-11.0,-100.0
Nordoccidental,Coníferas/Frondosas,189.0,181.0,-8.0,-4.232804232804233
Pirineos,Cultivos herbáceos secano,1368.0,1363.0,-5.0,-0.36549707602339176
Navarra Media,Coníferas/Frondosas,97.0,92.0,-5.0,-5.154639175257731
Cuenca de Pamplona,Coníferas,600.0,597.0,-3.0,-0.5
Pirineos,Cultivos leñosos secano,64.0,62.0,-2.0,-3.125
Cuenca de Pamplona,Coníferas/Frondosas,69.0,67.0,-2.0,-2.898550724637681
Tierra Estella,Coníferas/Frondosas,54.0,53.0,-1.0,-1.8518518518518516
Ribera Baja,Coníferas,509.0,508.0,-1.0,-0.19646365422396855
Ribera Baja,Coníferas/Frondosas,4.0,4.0,0.0,0.0
Cuenca de Pamplona,Cultivos leñosos secano,164.0,164.0,0.0,0.0
Ribera Alta-Aragón,Coníferas/Frondosas,7.0,7.0,0.0,0.0
Navarra Media,Cultivos leñosos secano,782.0,784.0,2.0,0.2557544757033248
Ribera Alta-Aragón,Frondosas,158.0,160.0,2.0,1.2658227848101267
Navarra Media,Cultivos herbáceos secano,1499.0,1501.0,2.0,0.13342228152101399
Cuenca de Pamplona,Frondosas,718.0,720.0,2.0,0.2785515320334262
Tierra Estella,Forestal no arbolado,2615.0,2617.0,2.0,0.07648183556405354
Pirineos,Improductivo,723.0,725.0,2.0,0.2766251728907331
Ribera Alta-Aragón,Coníferas,673.0,675.0,2.0,0.2971768202080238
Ribera Baja,Frondosas,91.0,94.0,3.0,3.296703296703297
Nordoccidental,Improductivo,1525.0,1528.0,3.0,0.19672131147540983
Ribera Alta-Aragón,Cultivos herbáceos secano,865.0,871.0,6.0,0.6936416184971098
Navarra Media,Improductivo,943.0,949.0,6.0,0.6362672322375398
Ribera Baja,Cultivos herbáceos secano,1130.0,1137.0,7.0,0.6194690265486725
Cuenca de Pamplona,Forestal no arbolado,1413.0,1421.0,8.0,0.5661712668082095
Nordoccidental,Cultivos leñosos secano,91.0,100.0,9.0,9.89010989010989
Pirineos,Cultivos leñosos regadío,0.0,10.0,10.0,
Cuenca de Pamplona,Cultivos herbáceos secano,726.0,736.0,10.0,1.3774104683195594
Ribera Baja,Cultivos leñosos secano,315.0,326.0,11.0,3.492063492063492
Navarra Media,Frondosas,866.0,878.0,12.0,1.3856812933025404
Nordoccidental,Cultivos leñosos regadío,0.0,13.0,13.0,
Tierra Estella,Coníferas,575.0,589.0,14.0,2.4347826086956523
Tierra Estella,Improductivo,1181.0,1195.0,14.0,1.1854360711261642
Cuenca de Pamplona,Improductivo,1682.0,1696.0,14.0,0.8323424494649228
Ribera Alta-Aragón,Improductivo,1425.0,1440.0,15.0,1.0526315789473684
Pirineos,Coníferas/Frondosas,860.0,875.0,15.0,1.744186046511628
Pirineos,Forestal no arbolado,4193.0,4210.0,17.0,0.4054376341521584
Navarra Media,Coníferas,640.0,658.0,18.0,2.8125
Ribera Alta-Aragón,Forestal no arbolado,1922.0,1943.0,21.0,1.09261186264308
Nordoccidental,Cultivos herbáceos regadío,0.0,26.0,26.0,
Ribera Baja,Forestal no arbolado,2520.0,2547.0,27.0,1.0714285714285714
Tierra Estella,Cultivos leñosos secano,1378.0,1412.0,34.0,2.467343976777939
Pirineos,Frondosas,2816.0,2857.0,41.0,1.455965909090909
Navarra Media,Forestal no arbolado,2436.0,2482.0,46.0,1.8883415435139574
Ribera Baja,Improductivo,1609.0,1655.0,46.0,2.858918582970789
Tierra Estella,Frondosas,1455.0,1503.0,48.0,3.2989690721649487
Ribera Alta-Aragón,Cultivos leñosos secano,512.0,561.0,49.0,9.5703125
Pirineos,Cultivos herbáceos regadío,0.0,60.0,60.0,
Cuenca de Pamplona,Cultivos leñosos regadío,0.0,72.0,72.0,
Pirineos,Coníferas,2951.0,3040.0,89.0,3.01592680447306
Cuenca de Pamplona,Cultivos herbáceos regadío,0.0,138.0,138.0,
Nordoccidental,Frondosas,4815.0,5000.0,185.0,3.8421599169262723
Tierra Estella,Cultivos leñosos regadío,0.0,204.0,204.0,
Tierra Estella,Cultivos herbáceos regadío,0.0,282.0,282.0,
Navarra Media,Cultivos herbáceos regadío,0.0,422.0,422.0,
Navarra Media,Cultivos leñosos regadío,0.0,537.0,537.0,
Ribera Alta-Aragón,Cultivos herbáceos regadío,0.0,814.0,814.0,
Ribera Baja,Cultivos herbáceos regadío,0.0,848.0,848.0,
Ribera Alta-Aragón,Cultivos leñosos regadío,0.0,1198.0,1198.0,
Ribera Baja,Cultivos leñosos regadío,0.0,1903.0,1903.0,
